u'2gTmnm8AAAAJ', 'University of New Mexico',University of New Mexico-Main Campus
u'UGTT-LwAAAAJ', 'University of New Mexico',University of New Mexico-Main Campus
u'U2nmaqEAAAAJ', 'University of New Mexico',University of New Mexico-Main Campus
u'kcye0lEAAAAJ', 'University of New Mexico',University of New Mexico-Main Campus
u'u-w6khsAAAAJ', 'University of North Carolina',University of North Carolina at Chapel Hill
u'5IjZfl4AAAAJ', 'University of North Carolina',University of North Carolina at Chapel Hill
u'8vsRBCgAAAAJ', 'University of North Carolina at Chapel HIll',University of North Carolina at Chapel Hill
u'1V3G8cAAAAAJ', 'University of North Carolina Wilmington',University of North Carolina at Wilmington
u'F3HxK8UAAAAJ', 'University of North Carolina Wilmington',University of North Carolina at Wilmington
u'pjKJLOAAAAAJ', 'University of North Carolina Wilmington',University of North Carolina at Wilmington
u'b3y2fQUAAAAJ', 'University of North Texas (USA) & Inst. of Ecology and Biodiversity',University of North Texas
u'zlV6CZAAAAAJ', 'University of North Texas Geography',University of North Texas
u'Xo7n5z0AAAAJ', 'university of oklahoma',University of Oklahoma Norman Campus
u'p0eGXuYAAAAJ', 'University of South Carolina',University of South Carolina-Columbia
u'yy-mleoAAAAJ', 'University of South Carolina',University of South Carolina-Columbia
u'mnUnD2wAAAAJ', 'University of South Carolina',University of South Carolina-Columbia
u'j0-JhUcAAAAJ', 'University of South Carolina',University of South Carolina-Columbia
u'6NV95BAAAAAJ', 'University of South Florida',University of South Florida-Tampa
u'qlaN2UoAAAAJ', 'University of South Florida',University of South Florida-Tampa
u'yaRksUAAAAAJ', 'University of South Florida',University of South Florida-Tampa
u'5lkN3ukAAAAJ', 'University of South Florida',University of South Florida-Tampa
u'2-VRxx8AAAAJ', 'University of South Florida',University of South Florida-Tampa
u'zhMURM8AAAAJ', 'University of Tennessee',The University of Tennessee
u'w1_vxXcAAAAJ', 'University of Tennessee',The University of Tennessee
u'Du21jO8AAAAJ', 'University of Tennessee',The University of Tennessee
u'lJidUkQAAAAJ', 'University of Tennessee',The University of Tennessee
u'4EJFxjsAAAAJ', 'University of Tennessee',The University of Tennessee
u'ZFB7gfYAAAAJ', 'University of Tennessee',The University of Tennessee
u'zsptDjcAAAAJ', 'University of Tennessee',The University of Tennessee
u'VTCI_q0AAAAJ', 'University of Tennessee',The University of Tennessee
u'I35ih68AAAAJ', 'University of Tennessee at Chattanooga',The University of Tennessee at Chattanooga
u'DHYTYWwAAAAJ', 'University of Tennessee Knoxville',The University of Tennessee
u'iqlfboYAAAAJ', 'University of Texas',The University of Texas at Austin
u'8v3hRYcAAAAJ', 'University of Texas',The University of Texas at Austin
u'n0JfTlYAAAAJ', 'University of Texas',The University of Texas at Austin
u's6XRPz0AAAAJ', 'University of Texas at Austin',The University of Texas at Austin
u'LSkqsVYAAAAJ', 'University of Texas at Austin',The University of Texas at Austin
u'AD0oRPgAAAAJ', 'University of Texas at Austin',The University of Texas at Austin
u'HWxmXLwAAAAJ', 'University of Texas at Austin',The University of Texas at Austin
u'_mJXnI4AAAAJ', 'University of Texas at Austin',The University of Texas at Austin
u'CD6IAXYAAAAJ', 'University of Texas at Austin',The University of Texas at Austin
u'B4xRvYkAAAAJ', 'University of Texas at Austin',The University of Texas at Austin
u'i7_dFwMAAAAJ', 'University of Virginia',University of Virginia-Main Campus
u'd-v3RSkAAAAJ', 'University of Virginia',University of Virginia-Main Campus
u'0nW57DUAAAAJ', 'University of Virginia',University of Virginia-Main Campus
u'OoqZ6PAAAAAJ', 'University of Wisconsin',University of Wisconsin-Madison
u'KAZsZhIAAAAJ', 'University of Wisconsin',University of Wisconsin-Madison
u'djp0QC0AAAAJ', 'University of Wisconsin - Eau Claire',University of Wisconsin-Eau Claire
u'Q3ekwgkAAAAJ', 'University of Wisconsin - Madison',University of Wisconsin-Madison
u'otiE2Y0AAAAJ', 'University Program in Ecology',Duke University
u'45lY350AAAAJ', 'Utah State University Tooele',Utah State University-Regional Campuses and Distance Education
u'mQyS9wcAAAAJ', 'Virginia Tech University',Virginia Polytechnic Institute and State University
u'-N08mPcAAAAJ', 'Washington State University Vancouver',Washington State University
u'nzTXeNsAAAAJ', 'Washington University in St. Louis',Washington University in St Louis
u'Zdz8FX4AAAAJ', 'Washington University in St. Louis',Washington University in St Louis
u'G-D3i2YAAAAJ', 'Washington University in St. Louis',Washington University in St Louis
u'48aHD6IAAAAJ', 'Washington University St. Louis',Washington University in St Louis
u'PN-1ZQUAAAAJ', 'Widener Univerity',Widener University-Main Campus
u'LNW3meMAAAAJ', 'Wright State University',Wright State University-Main Campus
